code	city	registerd	envelopes	valid votes	Blok proti islam.-Obran.domova	CESTA ODPOVĚDNÉ SPOLEČNOSTI	Komunistická str.Čech a Moravy	Občanská demokratická aliance	Občanská demokratická strana	ROZUMNÍ-stop migraci,diktát.EU	Radostné Česko	STAROSTOVÉ A NEZÁVISLÍ	Strana svobodných občanů	Strana zelených	Česká pirátská strana	Česká str.sociálně demokrat.	Řád národa - Vlastenecká unie
531367	Adamov	102	74	72	0	0	14	0	5	2	0	8	0	0	7	9	0
531111	Bernardov	157	89	89	0	0	14	0	5	1	0	7	1	0	11	1	0
533971	Bílé Podolí	502	299	299	0	0	24	0	18	5	0	30	2	1	11	30	1
530964	Bludov	28	23	23	0	0	1	0	5	0	0	2	0	0	4	3	0
533980	Bohdaneč	337	214	214	0	0	17	0	12	1	0	11	0	0	15	16	0
530832	Brambory	97	63	62	0	0	4	0	10	0	0	3	0	0	1	3	0
531286	Bratčice	332	224	222	0	1	11	0	20	1	0	18	2	1	23	21	0
533998	Církvice	1 008	650	642	0	1	59	0	59	3	0	81	4	0	55	87	3
534005	Čáslav	8 029	4 866	4 833	4	5	403	9	429	29	2	352	53	43	499	718	16
529524	Čejkovice	34	29	29	0	0	2	0	1	0	0	4	0	0	0	1	0
534013	Černíny	331	226	225	1	0	40	0	18	2	0	28	2	2	13	13	0
534021	Červené Janovice	558	355	347	0	0	43	1	33	2	0	35	1	1	28	51	1
534030	Čestín	387	242	239	0	0	15	0	25	1	0	30	1	1	18	13	0
529559	Dobrovítov	98	67	67	0	0	5	0	2	4	0	10	0	1	6	9	0
531260	Dolní Pohleď	75	46	45	0	0	9	0	3	0	0	2	0	0	6	4	0
531341	Drobovice	328	219	218	0	0	28	0	7	4	0	13	0	4	20	30	1
531197	Hlízov	450	309	307	0	2	18	0	34	0	0	52	5	1	35	22	1
531430	Horka I	327	207	206	0	0	19	0	29	2	0	20	2	2	8	9	0
534056	Horka II	346	216	216	0	0	19	1	15	1	0	24	4	5	20	21	0
531359	Horky	319	185	183	0	0	18	0	29	1	0	9	4	1	16	26	0
531481	Horušice	152	91	90	0	0	6	0	8	2	0	7	1	0	3	12	0
534064	Hostovlice	200	121	118	1	0	14	0	12	4	0	7	1	0	4	14	2
531413	Hraběšín	102	66	66	0	0	10	0	4	0	0	5	1	0	7	3	0
534081	Chabeřice	216	137	137	0	0	9	0	16	1	0	13	0	0	13	6	0
534099	Chlístovice	607	369	368	1	0	79	0	21	3	0	43	3	1	41	19	4
534102	Chotusice	564	353	351	0	0	28	0	17	2	0	23	6	4	43	33	1
534129	Kácov	659	427	424	0	0	19	0	50	2	0	42	2	2	39	58	3
534137	Kluky	392	254	254	0	0	16	0	23	3	0	22	0	1	31	26	0
531405	Kobylnice	153	88	86	0	0	12	0	9	1	0	9	2	0	10	6	0
551465	Košice	42	28	27	0	0	1	0	1	0	0	5	1	0	2	1	0
534153	Krchleby	319	183	183	0	0	17	2	8	1	0	15	1	3	14	21	0
534161	Křesetice	528	300	298	4	0	21	0	34	3	0	17	2	1	34	27	1
533955	Kutná Hora	16 219	9 916	9 862	13	7	754	10	1 068	74	4	1 117	142	94	1 006	743	41
534170	Ledečko	149	105	102	0	0	3	0	8	0	0	16	0	2	11	8	1
